Ticker,Date,Close/Last,Volume,Open,High,Low
AAPL,04/02/2025,$223.89,,$221.315,NaN,NULL
AMD,04/02/2025,$102.96,20793990,$101.52,$104.185,$100.76
AMZN,04/02/2025,$196.01,53679200,$187.66,$198.34,$187.66
CSCO,04/02/2025,$61.82,18610690,$61.195,$61.87,$61.10
META,04/02/2025,$583.93,13470780,$574.91,$592.66,$573.36
MSFT,04/02/2025,$382.14,16092560,$377.965,$385.08,$376.62
NFLX,04/02/2025,$935.52,3256886,$923.00,$949.5479,$916.11
QCOM,04/02/2025,$154.08,5377181,$150.79,$155.46,$150.37
SBUX,04/02/2025,$99.41,,$97.41,$99.75,$97.41
TSLA,04/02/2025,$282.76,212787800,$254.60,NaN,$251.27
AAPL,04/01/2025,$223.19,36412740,$219.805,$223.68,NULL
AMD,04/01/2025,$102.78,23523230,$102.16,$102.83,$100.93
AMZN,04/01/2025,$192.17,41267320,$187.86,$193.93,$187.20
CSCO,04/01/2025,$61.80,17381450,$61.38,$62.04,$61.06
META,04/01/2025,$586.00,12836570,$570.84,$589.91,$570.00
MSFT,04/01/2025,$382.19,19689500,$374.65,$382.85,$373.23
NFLX,04/01/2025,$928.38,,$927.50,$932.29,$911.50
QCOM,04/01/2025,$153.05,5708940,$152.39,$153.32,$150.265
SBUX,04/01/2025,$98.23,5868429,$97.85,NaN,$97.125
TSLA,04/01/2025,$268.46,146486900,$263.80,$277.45,$259.25
AAPL,03/31/2025,$222.13,65299320,$217.005,$225.62,NULL
AMD,03/31/2025,$102.74,30865340,$100.235,$102.82,$98.80
AMZN,03/31/2025,$190.26,63547560,$188.19,$191.33,$184.40
CSCO,03/31/2025,$61.71,29335720,$60.63,$61.895,$60.24
META,03/31/2025,$576.36,,$563.50,$578.70,$553.30
MSFT,03/31/2025,$375.39,35184680,$372.535,$377.07,$367.24
NFLX,03/31/2025,$932.53,4634075,$920.53,$934.48,$900.59
QCOM,03/31/2025,$153.61,8613591,$150.805,NaN,$147.88
SBUX,03/31/2025,$98.09,11302850,$96.62,$98.815,$94.58
TSLA,03/31/2025,$259.16,134008900,$249.31,$260.56,$243.3601
AAPL,03/28/2025,$217.90,39818620,$221.67,$223.81,NULL
AMD,03/28/2025,$103.22,31069110,$105.525,$106.51,$102.48
AMZN,03/28/2025,$192.72,,$198.42,$199.26,$191.881
CSCO,03/28/2025,$60.86,24931720,$61.66,$61.7754,$60.51
META,03/28/2025,$576.74,17602820,$600.31,$601.75,$573.92
MSFT,03/28/2025,$378.80,21632020,$388.08,$389.13,$376.93
NFLX,03/28/2025,$933.85,4422717,$972.00,NaN,$929.23
QCOM,03/28/2025,$152.72,8917986,$156.92,$157.64,$151.56
SBUX,03/28/2025,$97.73,8066627,$98.00,$98.49,$97.0617
TSLA,03/28/2025,$263.55,123809400,$275.575,$276.10,$260.57
AAPL,03/27/2025,$223.85,,$221.39,$224.99,NULL
AMD,03/27/2025,$106.65,32773710,$106.11,$107.62,$105.5499
AMZN,03/27/2025,$201.36,27317660,$200.89,$203.79,$199.2821
CSCO,03/27/2025,$61.40,25720160,$61.89,$61.98,$61.33
META,03/27/2025,$602.58,10436520,$602.00,$614.25,$600.10
MSFT,03/27/2025,$390.58,13766760,$390.13,NaN,$387.395
NFLX,03/27/2025,$976.72,3047237,$974.22,$989.00,$966.3664
QCOM,03/27/2025,$157.97,6101990,$158.21,$159.25,$155.75
SBUX,03/27/2025,$98.85,,$97.90,$99.915,$97.535
TSLA,03/27/2025,$273.13,162572100,$272.48,$291.85,$271.8216
AAPL,03/26/2025,$221.53,34532660,$223.51,$225.02,NULL
AMD,03/26/2025,$110.19,39976490,$114.11,$115.8999,$108.68
AMZN,03/26/2025,$201.13,32990970,$205.835,$206.01,$199.925
CSCO,03/26/2025,$61.80,30628530,$61.03,$61.84,$61.005
META,03/26/2025,$610.98,12661890,$624.89,NaN,$606.61
MSFT,03/26/2025,$389.97,16132910,$395.00,$395.31,$388.57
NFLX,03/26/2025,$970.65,,$993.81,$996.79,$966.32
QCOM,03/26/2025,$158.39,5965132,$159.45,$160.81,$156.85
SBUX,03/26/2025,$97.97,9567221,$96.00,$98.39,$96.00
TSLA,03/26/2025,$272.06,156254400,$282.66,$284.90,$266.51
AAPL,03/25/2025,$223.75,34493580,$220.77,$224.10,NULL
AMD,03/25/2025,$114.81,29077510,$113.265,$114.95,$112.71
AMZN,03/25/2025,$205.71,31171160,$203.595,$206.21,$203.22
CSCO,03/25/2025,$60.99,20877640,$60.84,NaN,$60.70
META,03/25/2025,$626.31,,$626.76,$633.88,$621.18
MSFT,03/25/2025,$395.16,15774970,$393.915,$396.36,$392.64
NFLX,03/25/2025,$997.28,3782245,$978.18,$998.70,$977.11
QCOM,03/25/2025,$160.15,3978200,$159.88,$161.47,$159.42
SBUX,03/25/2025,$95.88,6984820,$96.19,$96.97,$94.77
TSLA,03/25/2025,$288.14,150361500,$283.60,$288.20,$271.28
AAPL,03/24/2025,$220.73,44299480,$221.00,$221.48,NULL
AMD,03/24/2025,$113.85,53342000,$109.73,$114.85,$109.40
AMZN,03/24/2025,$203.26,,$200.00,NaN,$199.95
CSCO,03/24/2025,$60.97,28335640,$61.035,$61.38,$60.88
META,03/24/2025,$618.85,15741270,$614.97,$622.54,$612.2001
MSFT,03/24/2025,$393.08,21004550,$395.40,$395.40,$389.81
NFLX,03/24/2025,$971.99,4677871,$969.67,$977.00,$951.55
QCOM,03/24/2025,$160.08,6033350,$160.00,$161.00,$158.80
SBUX,03/24/2025,$95.72,8264970,$98.03,$98.20,$95.63
TSLA,03/24/2025,$278.39,169079900,$258.075,$278.64,$256.33
AAPL,03/21/2025,$218.27,,$211.56,$218.84,NULL
AMD,03/21/2025,$106.44,30767940,$105.33,NaN,$104.33
AMZN,03/21/2025,$196.21,60056920,$192.90,$196.99,$192.52
CSCO,03/21/2025,$60.30,65935200,$60.17,$60.40,$59.425
META,03/21/2025,$596.25,25015860,$583.425,$597.545,$580.95
MSFT,03/21/2025,$391.26,39675930,$383.215,$391.74,$382.80
NFLX,03/21/2025,$960.29,5905429,$941.635,$963.6532,$940.95
QCOM,03/21/2025,$156.82,10949250,$154.98,$157.416,$153.56
SBUX,03/21/2025,$97.07,,$97.94,$98.01,$96.29
TSLA,03/21/2025,$248.71,132728700,$234.985,$249.52,$234.55
AAPL,03/20/2025,$214.10,48862950,$213.99,NaN,NULL
AMD,03/20/2025,$107.14,26871840,$105.12,$108.26,$105.12
AMZN,03/20/2025,$194.95,38921110,$193.07,$199.32,$192.30
CSCO,03/20/2025,$60.62,16528570,$60.475,$61.02,$60.34
META,03/20/2025,$586.00,24336510,$582.755,$610.20,$579.51
MSFT,03/20/2025,$386.84,18470540,$385.735,$391.785,$383.28
NFLX,03/20/2025,$950.84,,$950.01,$967.00,$945.50
QCOM,03/20/2025,$157.95,5089255,$158.00,$159.12,$156.52
SBUX,03/20/2025,$99.28,5952759,$98.85,$99.69,$98.67
TSLA,03/20/2025,$236.26,99028270,$233.345,NaN,$230.0501
AAPL,03/19/2025,$215.24,54385390,$214.22,$218.76,NULL
AMD,03/19/2025,$106.23,32287500,$104.42,$107.90,$101.96
AMZN,03/19/2025,$195.54,39442880,$193.38,$195.965,$191.96
CSCO,03/19/2025,$61.12,15488780,$60.63,$61.575,$60.50
META,03/19/2025,$584.06,,$584.28,$592.3223,$574.77
MSFT,03/19/2025,$387.82,19185530,$385.525,$389.68,$384.00
NFLX,03/19/2025,$959.49,6662361,$935.77,$968.00,$924.00
QCOM,03/19/2025,$158.26,5870969,$156.43,$160.515,$155.06
SBUX,03/19/2025,$99.19,4982672,$98.27,NaN,$97.95
TSLA,03/19/2025,$235.86,111993800,$231.61,$241.41,$229.201
AAPL,03/18/2025,$212.69,42432430,$214.16,$215.15,NULL
AMD,03/18/2025,$103.51,27152830,$103.85,$104.55,$102.97
